Movie Name,Release Date
1990a,01/02/2022
30 Chưa Phải Tết,25/01/2020
578: Phát Đạn Của Kẻ Điên,20/05/2022
Anh Thầy Ngôi Sao,30/08/2019
Anh Trai Yêu Quái,27/11/2019
B4S Trước Giờ Yêu,18/04/2024
Bên Trong Vỏ Kén Vàng,11/08/2023
Bí Mật Của Gió,31/01/2020
Bóng Đè,17/03/2022
Bẫy Ngọt Ngào,10/02/2022
Bắc Kim Thang,25/10/2019
Bằng Chứng Vô Hình,10/07/2020
Bến Phà Xác Sống,01/09/2023
Bố Già,12/03/2021
Cha Ma,23/08/2019
Chiếm Đoạt,17/11/2023
Chuyện Ma Gần Nhà,11/02/2022
Chìa Khóa Trăm Tỷ,01/02/2022
Chạm Vào Hạnh Phúc,01/09/2023
Chị Chị Em Em,20/12/2019
Chị Chị Em Em 2,22/01/2023
Chị Mười Ba 2: 3 Ngày Sinh Tử,25/12/2020
Chị Mười Ba: Phần Kết Thập Tam Muội,29/03/2019
Chị Trợ Lý Của Anh,04/01/2019
Chồng Người Ta,20/11/2020
Con Nhót Mót Chồng,28/04/2023
Cua Lại Vợ Bầu,05/02/2019
Cuốc Xe Nửa Đêm,28/02/2020
Cuộc Gọi Định Mệnh,01/03/2019
Cà Chớn Anh Đừng Đi,17/05/2019
Cái Giá Của Hạnh Phúc,19/04/2024
Cô Gái Từ Quá Khứ,13/10/2022
Cù Lao Xác Sống,01/09/2022
Cậu Chủ Ma Cà Rồng,23/08/2019
Cậu Vàng,08/01/2021
Duyên Ma,12/08/2022
Dân Chơi Không Sợ Con Rơi,29/07/2022
Em Là Của Em,08/01/2021
Em và Trịnh,10/06/2022
Fanti,28/07/2023
Giao Lộ 8675,06/10/2023
Gái Già Lắm Chiêu 3,25/01/2020
Gái Già Lắm Chiêu V Những Cuộc Đời Vương Giả,05/03/2021
Gặp Lại Chị Bầu,10/02/2024
Hoa Hậu Giang Hồ,15/11/2019
Hoa Phong Nguyệt Vũ,04/12/2020
Huyền Sử Vua Đinh,18/11/2022
Hạnh Phúc Của Mẹ,07/03/2019
Hạnh Phúc Máu,25/11/2022
Khi Ta Hai Lăm,03/03/2023
Kiều,09/04/2021
Kiều @,26/02/2021
Kẻ Ăn Hồn,15/12/2023
Kẻ Đào Mồ,01/07/2022
Kẻ Ẩn Danh,25/08/2023
Là Mây Trên Bầu Trời Của Ai Đó,22/07/2022
Lật Mặt 4: Nhà Có Khách,12/04/2019
Lật Mặt 6: Tấm Vé Định Mệnh,28/04/2023
Lật Mặt 7: Một Điều Ước,24/04/2024
Lật Mặt: 48H,16/04/2021
Maika Cô Bé Đến Từ Hành Tinh Khác,27/05/2022
Mùa Hè Đẹp Nhất,28/06/2024
Mưu Kế Thượng Lưu,03/02/2022
Mười: Lời Nguyền Trở Lại,30/09/2022
Mắt Biếc,18/12/2019
Mến Gái Miền Tây,25/03/2022
Mỹ Nhân Thần Sách,18/02/2021
Nghề Siêu Dễ,29/04/2022
Ngôi Nhà Bươm Bướm,30/08/2019
Người Cần Quên Phải Nhớ,25/12/2020
Người Lạ Ơi,13/09/2019
Người Lắng Nghe,04/03/2022
Người Vợ Cuối Cùng,03/11/2023
Ngốc Ơi Tuổi 17,22/11/2019
Nhà Bà Nữ,22/01/2023
Nhà Không Bán,30/01/2022
Nhân Duyên: Người Yêu Tiền Kiếp,04/10/2019
Những Cánh Én Đầu Tiên,09/08/2019
Những Cô Vợ Hành Động,29/04/2022
Nắng 3: Lời Hứa Của Cha,06/03/2020
Oppa Phiền Quá Nha,06/12/2019
Pháp Sư Mù,08/11/2019
Qua Bển Làm Chi,08/04/2022
Quý Cô Thừa Kế 2,08/03/2024
Quỷ Cẩu,29/12/2023
Ròm,25/09/2020
Rừng Thế Mạng,30/12/2021
Siêu Lừa Gặp Siêu Lầy,03/03/2023
Siêu Quậy Có Bầu,20/09/2019
Sài Gòn Trong Cơn Mưa,04/11/2020
Sáng Đèn,22/03/2024
Sắc Đẹp Dối Trá,14/02/2020
Thang Máy,30/10/2020
Thanh Sói: Cúc Dại Trong Đêm,23/12/2022
Thiên Thần Hộ Mệnh,30/04/2021
Tháng 5 Để Dành,24/05/2019
Thưa Mẹ Con Đi,16/08/2019
Thất Sơn Tâm Linh,08/10/2019
Thật Tuyệt Vời Khi Ở Bên Em,12/07/2019
Tiền Nhiều Để Làm Gì,30/01/2020
Tiệc Trăng Máu,23/10/2020
Tro Tàn Rực Rỡ,02/12/2022
Truyền Thuyết về Quán Tiên,22/05/2020
Truyện Ngắn,27/09/2019
Trái Tim Quái Vật,14/11/2020
Trên Bàn Nhậu Dưới Bàn Mưu,29/12/2023
Trò Chơi Tử Thần,23/09/2022
Trạng Quỳnh,05/02/2019
Trạng Tí Phiêu Lưu Ký,30/04/2021
Trời Sáng Rồi Ta Ngủ Đi Thôi,27/09/2019
Táo Quậy,05/02/2019
Tìm Chồng Cho Mẹ,26/07/2019
Tình Đầu Thơ Ngây,14/02/2019
Tôi Là Não Cá Vàng,04/06/2020
Virus Cuồng Loạn,04/11/2022
Vong Nhi,03/02/2023
Vu Quy Đại Náo,22/02/2019
Vô Diện Sát Nhân,26/08/2022
Vô Gian Đạo,22/05/2019
Võ Sinh Đại Chiến,01/01/2021
Vợ Ba,16/05/2019
Yolo The Movie: Bạn Chỉ Sống Một Lần,15/01/2019
Án Mạng Lầu 4,17/05/2024
Ê Ông Già Yêu Ha,15/04/2022
Đoá Hoa Mong Manh,12/04/2024
Đêm Tối Rực Rỡ,07/04/2022
Đôi Mắt Âm Dương,25/01/2020
Đảo Độc Đắc Tử Mẫu Thiên Linh Cái,22/12/2022
Đất Rừng Phương Nam,13/10/2023
Đỉnh Mù Sương,15/07/2020
Ước Hẹn Mùa Thu,10/05/2019
Hai Phượng,22/02/2019
Móng Vuốt,07/06/2024
Mai,10/02/2024
Trước Giờ Yêu,19/04/2024
